Symbol,Engine,Name
IBB,yahoo,iShares Nasdaq Biotechnology Index Fund
SPY,yahoo,Standart and Poor
XME,yahoo,SPDR S&P Metals & Mining ETF
GLD,yahoo,SPDR Gold Trust
BNO,yahoo,United States Brent Oil Fund
DBA,yahoo,PowerShares DB Agriculture Fund
IYH,yahoo,iShares U.S. Healthcare ETF
GOOGL,yahoo,Alphabet Inc
AMZN,yahoo,Amazon
FB,yahoo,Facebook Inc
NFLX,yahoo,Netflix
SBUX,yahoo,Starbucks
MSFT,yahoo,Microsoft
DEXUSEU,fred,U.S. / Euro Foreign Exchange Rate
CPIAUCSL,fred,Consumer Price Index for All Urban Consumers: All Items
INDPRO,fred,Industrial Production Index
DGS10,fred,10-Year Treasury Constant Maturity Rate
DGS2,fred,2-Year Treasury Constant Maturity Rate
LNS11300060,fred,Civilian Labor Force Participation Rate: 25 to 54 years
LNS11300000,fred,Civilian Labor Force Participation Rate
T10Y3M,fred,10-Year Treasury Constant Maturity Minus 3-Month Treasury Constant Maturity
DCOILWTICO,fred,Crude Oil Prices: West Texas Intermediate (WTI)
IPG211111CN,fred,Industrial Production: Mining: Crude oil
DFF,fred,Effective Federal Funds Rate
DJIA,fred,Dow Jones Industrial Average
OPHNFB,fred,Real Output Per Hour of All Persons Nonfarm
